9,"Star Wars: Episode III - Revenge of the Sith 3D",2005,"Action & Adventure",65
770670074,"Star",1982,"Drama",86
770689561,"Star",2001,"Art House & International",40
770673029,"Star Trek",2009,"Drama",91
771190753,"Star Trek Into Darkness",2013,"Science Fiction & Fantasy",90
392799904,"Stardust",2007,"Drama",86
770790932,"The Men Who Stare at Goats",2009,"Drama",39
10009,"Star Wars: Episode II - Attack of the Clones 3D",2002,"Science Fiction & Fantasy",60
771321699,"Star Wars: Episode VII",2015,"Action & Adventure",99
771362216,"Starred Up",2014,"Drama",87
771365948,"The Fault In Our Stars",2014,"Drama",89
771381717,"Untitled Star Wars Project",2016,"Drama",94
10008,"Star Wars: Episode I - The Phantom Menace",1999,"Kids & Family",60
770683913,"Star Wars: The Clone Wars",2008,"Action & Adventure",39
11366,"Star Wars: Episode VI - Return of the Jedi",1983,"Action & Adventure",95
11292,"Star Wars: Episode IV - A New Hope",1977,"Action & Adventure",96
11470,"Star Wars: Episode V - The Empire Strikes Back",1980,"Action & Adventure",97
11462,"Starsky & Hutch",2004,"Drama",49
672128428,"Empire of Dreams: The Story of the Star Wars Trilogy",2004,"Documentary",90
12303,"Stargate",1994,"Action & Adventure",74
11853,"Star Trek - First Contact",1996,"Action & Adventure",89
12084,"Star Trek II - The Wrath of Khan",1982,"Action & Adventure",90
13719,"Starship Troopers",1997,"Action & Adventure",69
13545,"Rock Star",2001,"Drama",60
11646,"Star Trek - Nemesis",2002,"Action & Adventure",50
425838881,"Star Wars: Holiday Special",1978,"Action & Adventure",20
10849,"Star Trek: The Motion Picture",1979,"Action & Adventure",42
12300,"Star Trek VI - The Undiscovered Country",1991,"Action & Adventure",83
771325066,"20 Feet From Stardom",2013,"Musical & Performing Arts",82
12642,"Star Trek III - The Search for Spock",1984,"Action & Adventure",61
561427254,"Stargate: Continuum",2008,"Action & Adventure",79
11889,"Star Trek - Insurrection",1998,"Action & Adventure",45
12428,"Star Trek IV - The Voyage Home",1986,"Action & Adventure",81
11936,"Star Trek Generations",1994,"Drama",58
355028245,"Starter for 10",2006,"Drama",67
12182,"Star Trek V - The Final Frontier",1989,"Action & Adventure",25
11727,"Dickie Roberts - Former Child Star",2003,"Comedy",47
16064,"Firestarter",1984,"Horror",49
770669885,"Star Wars: Revelations",2005,"Science Fiction & Fantasy",58
586577217,"Stargate: The Ark of Truth",2008,"Action & Adventure",79
770679985,"Star Wars: Secrets of the Rebellion",2008,"Action & Adventure",62
10746,"Starman",1984,"Drama",69
770681579,"Star Trek: A Captain's Log (William Shatner's Star Trek Memories)",1994,"Documentary",82
771211554,"Bucky Larson: Born to Be a Star",2011,"Comedy",25
771243352,"Starbuck",2013,"Art House & International",80
770768852,"Bright Star",2009,"Drama",69
771270356,"Starlet",2012,"Drama",68
770950053,"Star Wars Vs. Star Trek",2001,"Documentary",79
14204,"Starship Troopers 2 - Hero of the Federation",2004,"Science Fiction & Fantasy",11
530680449,"Star Tours",1987,"Action & Adventure",71
770679991,"Star Wars Episode V 1/2: The Han Solo Affair",2002,"Animation",62
