770766323,"Cy Carter"
162674648,"David Keith"
770947839,"Peter Burroughs"
364614379,"Rachel Hunter"
770949865,"Elizabeth St. Clair"
771494272,"Jordan Drexel"
770859821,"Tata Vega"
770940807,"Dave Emann"
162721066,"Daniel Hugh Kelly"
771096004,"Jacquelynn King"
771446582,"Eric Greitens"
770783980,"C. Jutson Campbell"
770881811,"Dinah Anne Rogers"
162655521,"Robert De Niro"
341817789,"Victor Moore"
770986863,"Danita Aljuwani"
770701113,"Tom Allen"
162661568,"Peter Weller"
162652242,"Liam Neeson"
364655827,"Oscar Isaac"
364599866,"Kenneth Tobey"
770680617,"Downtown Julie Brown"
162664237,"Jon Lovitz"
770929169,"Irene Lamb"
660471647,"Viveca Lindfors"
162661543,"Corey Haim"
770710043,"Seymore Butts"
771246300,"Alex Chilton"
771446508,"Marc Primiani"
770818249,"Fred 'Snowflake' Toones"
770930369,"Keith Colbert"
770671488,"Bruce Boa"
771029130,"Joey "Coco" Diaz"
770719297,"Beatrice Winde"
162656874,"Sandy Duncan"
771402756,"Imman Kannan"
770800440,"Francois Testory"
771380161,"Vanessa Nicole Villalovos"
426555786,"Armin Shimerman"
770887326,"Zoe Rae"
162671862,"Wallace Shawn"
326392221,"Bill Mumy"
770743581,"Margo Lee"
162656398,"Beverly Garland"
166851258,"Ned Eisenberg"
770749959,"Clay Clement"
162652162,"George Lucas"
770962232,"Vanetta Fields"
309684316,"Rena Owen"
771402369,"Abbie Cobb"
770762697,"John Miranda"
770672781,"Richard Webb"
771101336,"Mike Li"
364606969,"Jacques Francois"
551228686,"Daniel Massey"
162660722,"Fredric March"
162661017,"Brett Ratner"
770727784,"Rebecca Mader"
770725803,"William L. Nagle"
770727916,"Romo Vincent"
597096850,"William Hudson"
162652664,"Shirley MacLaine"
162686940,"Kristanna Loken"
770682048,"Barry Williams"
771447958,"Tabitha Fair"
770725812,"Martin Garralaga"
770977971,"Robert Hammack"
771497342,"Pip Andersen"
421513414,"Steve John Shepherd"
770948999,"Lisa Fischer"
162656403,"Billy Dee Williams"
162661798,"Roy Scheider"
162690734,"Lawrence Monoson"
546954190,"Ted White"
162715701,"David Jacobson"
770706404,"Hal K. Dawson"
771027860,"Mousy McCallum"
465973187,"James Brown"
771387694,"Hui Ming Lin"
364653873,"Ruth Hussey"
410753221,"Vaitiare Bandera"
770676179,"Dick Wesson"
770962244,"Daryl T. Bartley"
162669812,"Dwight Schultz"
162680408,"Helen Shaver"
770936879,"Mike Timoney"
770712816,"Stuart Damon"
326393041,"Chris Pine"
326394327,"Ayesha Dharker"
770679943,"Larry Flynt"
395114619,"Lynne Overman"
747403173,"Beryl Reid"
770683161,"Scott Terra"
771018649,"Nick Catanese"
770676831,"Jeff Jensen"
770962233,"Uncle Rudy"
162654606,"John Carpenter"
385328964,"Geoffrey Blake"
771039751,"Adrian Schiller"
770944059,"The Golden Gate Quartet"
747096405,"Darcy DeMoss"
770726013,"Todd Bryant"
162658193,"Caroline Munro"
770968336,"Janice Pendarvis"
518912027,"Gwynyth Walsh"
770727237,"Jason-Shane Scott"
770801755,"Maggie Cooper"
566998376,"Scott Smith"
770938835,"Richard Monohan"
770886904,"John Morton"
770891954,"Mary Selway"
364612568,"Cecil Kellaway"
770912593,"Jack Purvis"
162652821,"Deep Roy"
770708726,"John Garwood"
162652976,"Joe Morton"
